time;temperature;humidity;pressure;pm1;pm25;pm10
2017-01-01T03:00:00;0;51;102424;123;143;221
2017-01-01T07:00:00;0;50;102301;106;122;189
2017-01-01T11:00:00;6;38;102041;69;76;122
2017-01-01T15:00:00;4;41;101857;83;92;142
2017-01-01T19:00:00;1;49;101832;141;165;252
2017-01-01T23:00:00;0;51;101654;99;112;174
2017-01-02T03:00:00;0;50;101465;78;87;136
2017-01-02T08:00:00;3;47;101455;33;32;60
2017-01-02T12:00:00;4;48;101383;32;31;57
2017-01-02T16:00:00;3;59;101451;41;43;79
2017-01-02T20:00:00;3;57;101680;47;50;93
2017-01-03T00:00:00;3;57;101820;39;41;75
2017-01-03T04:00:00;2;55;101917;38;39;72
2017-01-03T08:00:00;3;50;101885;34;33;60
2017-01-03T12:00:00;2;61;101732;17;11;25
2017-01-03T16:00:00;3;62;101570;30;27;49
2017-01-03T20:00:00;3;59;101258;22;18;33
2017-01-04T00:00:00;1;63;100746;6;0;5
2017-01-04T04:00:00;0;70;100284;3;0;0
2017-01-04T08:00:00;3;63;100077;7;0;7
2017-01-04T12:00:00;3;57;99889;5;0;4
2017-01-04T16:00:00;3;60;99775;9;2;11
2017-01-04T20:00:00;2;63;99992;12;6;16
2017-01-05T00:00:00;1;55;100391;6;0;6
2017-01-05T04:00:00;0;58;100672;4;0;2
2017-01-05T08:00:00;-1;55;101374;8;1;10
2017-01-05T12:00:00;-1;42;101876;5;0;4
2017-01-05T16:00:00;-2;44;102354;28;25;46
2017-01-05T20:00:00;-3;48;102712;15;9;21
2017-01-06T00:00:00;-6;45;103009;6;0;7
2017-01-06T04:00:00;-7;47;103190;6;0;6
2017-01-06T08:00:00;-7;45;103438;9;2;11
2017-01-06T14:00:00;-7;42;103534;15;9;21
2017-01-06T18:00:00;-7;41;103631;32;30;53
2017-01-06T22:00:00;-10;42;103660;51;54;96
2017-01-07T02:00:00;-13;42;103592;67;73;131
2017-01-07T06:00:00;-14;42;103613;68;74;131
2017-01-07T10:00:00;-10;41;103490;41;40;69
2017-01-07T14:00:00;-9;44;103290;51;53;95
2017-01-07T18:00:00;-10;46;103156;75;81;142
2017-01-07T22:00:00;-13;45;102997;146;161;244
2017-01-08T02:00:00;-14;43;102884;163;180;275
2017-01-08T06:00:00;-15;43;102926;123;134;206
2017-01-08T10:00:00;-8;42;103001;117;131;202
2017-01-08T14:00:00;-3;39;102959;49;52;95
2017-01-08T18:00:00;-5;43;103024;66;73;129
2017-01-08T22:00:00;-6;45;102944;109;124;193
2017-01-09T02:00:00;-7;47;102896;120;137;212
2017-01-09T06:00:00;-6;47;102898;138;157;243
2017-01-09T10:00:00;-2;39;102806;83;93;148
2017-01-09T14:00:00;-2;36;102695;54;59;108
2017-01-09T18:00:00;-2;37;102639;76;83;136
2017-01-09T22:00:00;-2;42;102501;94;106;169
2017-01-10T02:00:00;-2;44;102311;70;77;132
2017-01-10T06:00:00;-4;51;102234;64;71;127
2017-01-10T10:00:00;-1;44;102126;49;53;96
