time;temperature;humidity;pressure;pm1;pm25;pm10
2017-01-01T07:00:00;0;50;102301;106;122;189
2017-01-01T15:00:00;4;41;101857;83;92;142
2017-01-01T23:00:00;0;51;101654;99;112;174
2017-01-02T08:00:00;3;47;101455;33;32;60
2017-01-02T16:00:00;3;59;101451;41;43;79
2017-01-03T00:00:00;3;57;101820;39;41;75
2017-01-03T08:00:00;3;50;101885;34;33;60
2017-01-03T16:00:00;3;62;101570;30;27;49
2017-01-04T00:00:00;1;63;100746;6;0;5
2017-01-04T08:00:00;3;63;100077;7;0;7
2017-01-04T16:00:00;3;60;99775;9;2;11
2017-01-05T00:00:00;1;55;100391;6;0;6
2017-01-05T08:00:00;-1;55;101374;8;1;10
2017-01-05T16:00:00;-2;44;102354;28;25;46
2017-01-06T00:00:00;-6;45;103009;6;0;7
2017-01-06T08:00:00;-7;45;103438;9;2;11
2017-01-06T18:00:00;-7;41;103631;32;30;53
2017-01-07T02:00:00;-13;42;103592;67;73;131
2017-01-07T10:00:00;-10;41;103490;41;40;69
2017-01-07T18:00:00;-10;46;103156;75;81;142
2017-01-08T02:00:00;-14;43;102884;163;180;275
2017-01-08T10:00:00;-8;42;103001;117;131;202
2017-01-08T18:00:00;-5;43;103024;66;73;129
2017-01-09T02:00:00;-7;47;102896;120;137;212
2017-01-09T10:00:00;-2;39;102806;83;93;148
2017-01-09T18:00:00;-2;37;102639;76;83;136
2017-01-10T02:00:00;-2;44;102311;70;77;132
2017-01-10T10:00:00;-1;44;102126;49;53;96
2017-01-10T18:00:00;-3;48;102169;105;118;183
2017-01-11T02:00:00;-7;50;102325;149;171;263
2017-01-11T10:00:00;-3;44;101961;148;172;266
2017-01-11T18:00:00;-3;48;101072;124;142;219
2017-01-12T02:00:00;-1;60;100506;11;5;15
2017-01-12T10:00:00;3;58;100833;24;20;37
2017-01-12T18:00:00;6;49;100972;39;41;76
2017-01-13T02:00:00;2;51;100108;29;28;50
2017-01-13T10:00:00;8;48;99684;12;5;15
2017-01-13T18:00:00;6;48;99735;18;12;26
2017-01-14T02:00:00;3;57;99898;8;2;11
2017-01-14T10:00:00;4;54;100211;24;20;37
2017-01-14T18:00:00;5;46;100647;35;35;64
2017-01-15T02:00:00;4;56;101168;30;29;53
2017-01-15T10:00:00;0;58;101564;23;19;35
2017-01-15T18:00:00;-1;48;101826;47;49;90
2017-01-16T02:00:00;-2;52;101953;65;71;116
2017-01-16T10:00:00;0;45;102176;29;26;47
2017-01-16T18:00:00;-1;47;102515;40;41;75
2017-01-17T03:00:00;-2;51;102924;59;66;118
2017-01-17T12:00:00;-1;52;103345;45;48;87
2017-01-17T20:00:00;-4;57;103679;24;20;38
2017-01-18T04:00:00;-5;61;103831;24;20;38
2017-01-18T12:00:00;-5;58;104020;19;14;28
2017-01-18T20:00:00;-6;57;104075;24;21;39
2017-01-19T04:00:00;-6;57;103956;20;15;30
2017-01-19T12:00:00;-4;47;103906;38;39;69
2017-01-19T20:00:00;-9;52;103844;95;106;167
2017-01-20T04:00:00;-6;55;103651;116;134;206
2017-01-20T12:00:00;0;41;103498;78;88;140
2017-01-20T20:00:00;0;41;103392;72;81;130
2017-01-21T04:00:00;0;52;103302;46;49;91
2017-01-21T12:00:00;2;42;103301;49;52;94
2017-01-21T20:00:00;0;50;103436;75;83;132
2017-01-22T04:00:00;0;53;103365;34;34;63
2017-01-22T12:00:00;3;49;103237;37;38;71
2017-01-22T20:00:00;-2;58;103102;69;76;126
2017-01-23T04:00:00;-5;59;102849;61;67;120
2017-01-23T12:00:00;0;52;102511;98;113;176
2017-01-23T21:00:00;-4;55;102524;144;169;262
2017-01-24T05:00:00;-5;55;102531;56;62;114
2017-01-24T13:00:00;-3;47;102740;46;49;90
2017-01-24T21:00:00;-7;88;102928;45;47;81
2017-01-25T05:00:00;-6;89;102983;82;91;135
2017-01-25T14:00:00;-2;94;103095;102;114;168
2017-01-25T22:00:00;0;90;103311;131;149;216
2017-01-26T07:00:00;-2;87;103477;38;38;66
2017-01-26T16:00:00;-2;84;103371;54;57;96
2017-01-27T00:00:00;-8;91;103267;138;154;219
2017-01-27T08:00:00;-8;89;103038;119;130;186
2017-01-27T18:00:00;-3;77;102783;139;153;217
2017-01-28T02:00:00;-9;91;102650;183;210;299
2017-01-28T10:00:00;-3;67;102553;132;150;215
