time;temperature;humidity;pressure;pm1;pm25;pm10
2017-01-01T00:00:00;0;53;102606;119;138;213
2017-01-01T01:00:00;0;52;102553;123;142;221
2017-01-01T02:00:00;0;52;102476;136;160;246
2017-01-01T03:00:00;0;51;102424;123;143;221
2017-01-01T04:00:00;0;50;102375;119;137;213
2017-01-01T05:00:00;0;50;102348;109;125;194
2017-01-01T06:00:00;0;50;102309;107;123;191
2017-01-01T07:00:00;0;50;102301;106;122;189
2017-01-01T08:00:00;0;49;102278;102;117;181
2017-01-01T09:00:00;1;46;102224;92;104;162
2017-01-01T10:00:00;4;42;102129;82;91;141
2017-01-01T11:00:00;6;38;102041;69;76;122
2017-01-01T12:00:00;5;38;101966;59;63;108
2017-01-01T13:00:00;5;39;101935;72;79;123
2017-01-01T14:00:00;5;39;101906;77;86;132
2017-01-01T15:00:00;4;41;101857;83;92;142
2017-01-01T16:00:00;4;42;101841;89;99;153
2017-01-01T17:00:00;3;46;101843;111;126;195
2017-01-01T18:00:00;2;48;101836;127;147;224
2017-01-01T19:00:00;1;49;101832;141;165;252
2017-01-01T20:00:00;0;50;101801;139;163;251
2017-01-01T21:00:00;0;50;101754;97;110;171
2017-01-01T22:00:00;0;51;101704;97;111;173
2017-01-01T23:00:00;0;51;101654;99;112;174
2017-01-02T00:00:00;0;51;101607;94;107;167
2017-01-02T01:00:00;0;50;101569;84;94;147
2017-01-02T02:00:00;0;50;101515;79;89;139
2017-01-02T03:00:00;0;50;101465;78;87;136
2017-01-02T04:00:00;0;51;101431;79;88;139
2017-01-02T05:00:00;0;52;101432;90;102;158
2017-01-02T06:00:00;-1;51;101457;89;100;156
2017-01-02T08:00:00;3;47;101455;33;32;60
2017-01-02T09:00:00;4;45;101440;32;30;56
2017-01-02T10:00:00;4;44;101381;37;36;67
2017-01-02T11:00:00;4;44;101376;34;33;62
2017-01-02T12:00:00;4;48;101383;32;31;57
2017-01-02T13:00:00;4;55;101408;37;37;69
2017-01-02T14:00:00;3;57;101405;36;36;68
2017-01-02T15:00:00;3;59;101414;38;39;72
2017-01-02T16:00:00;3;59;101451;41;43;79
2017-01-02T17:00:00;3;58;101504;44;46;85
2017-01-02T18:00:00;3;58;101576;46;49;89
2017-01-02T19:00:00;3;58;101637;50;53;96
2017-01-02T20:00:00;3;57;101680;47;50;93
2017-01-02T21:00:00;3;57;101734;45;48;89
2017-01-02T22:00:00;3;56;101756;45;48;89
2017-01-02T23:00:00;3;56;101775;43;46;84
2017-01-03T00:00:00;3;57;101820;39;41;75
2017-01-03T01:00:00;3;55;101878;39;40;74
2017-01-03T02:00:00;2;55;101880;38;39;73
2017-01-03T03:00:00;2;56;101905;37;38;70
2017-01-03T04:00:00;2;55;101917;38;39;72
2017-01-03T05:00:00;2;55;101923;35;34;63
2017-01-03T06:00:00;1;56;101898;30;28;50
2017-01-03T07:00:00;2;55;101892;32;30;54
2017-01-03T08:00:00;3;50;101885;34;33;60
2017-01-03T09:00:00;2;55;101863;29;26;47
2017-01-03T10:00:00;3;55;101804;24;21;38
2017-01-03T11:00:00;2;60;101771;19;14;28
2017-01-03T12:00:00;2;61;101732;17;11;25
2017-01-03T13:00:00;2;61;101694;19;14;28
2017-01-03T14:00:00;2;62;101658;20;15;29
2017-01-03T15:00:00;2;63;101624;26;22;40
2017-01-03T16:00:00;3;62;101570;30;27;49
2017-01-03T17:00:00;3;60;101481;30;28;50
2017-01-03T18:00:00;3;58;101397;23;18;34
2017-01-03T19:00:00;2;58;101330;19;14;29
2017-01-03T20:00:00;3;59;101258;22;18;33
2017-01-03T21:00:00;2;64;101170;16;10;22
2017-01-03T22:00:00;1;66;101033;13;6;17
2017-01-03T23:00:00;1;62;100873;7;0;9
2017-01-04T00:00:00;1;63;100746;6;0;5
2017-01-04T01:00:00;1;62;100620;5;0;3
2017-01-04T02:00:00;1;65;100495;4;0;2
2017-01-04T03:00:00;1;68;100378;3;0;1
2017-01-04T04:00:00;0;70;100284;3;0;0
2017-01-04T05:00:00;0;71;100214;4;0;1
2017-01-04T06:00:00;1;66;100112;5;0;4
2017-01-04T07:00:00;2;64;100092;6;0;5
2017-01-04T08:00:00;3;63;100077;7;0;7
2017-01-04T09:00:00;3;63;100061;5;0;3
2017-01-04T10:00:00;3;62;100000;8;1;9
2017-01-04T11:00:00;3;57;99936;6;0;7
2017-01-04T12:00:00;3;57;99889;5;0;4
2017-01-04T13:00:00;3;60;99842;6;0;6
2017-01-04T14:00:00;3;61;99820;7;0;8
2017-01-04T15:00:00;3;61;99802;7;0;8
2017-01-04T16:00:00;3;60;99775;9;2;11
2017-01-04T17:00:00;2;61;99770;10;3;13
2017-01-04T18:00:00;2;67;99830;12;5;16
2017-01-04T19:00:00;2;67;99929;14;8;20
2017-01-04T20:00:00;2;63;99992;12;6;16
2017-01-04T21:00:00;2;59;100120;9;2;11
2017-01-04T22:00:00;2;57;100226;11;5;15
2017-01-04T23:00:00;2;58;100321;11;4;15
2017-01-05T00:00:00;1;55;100391;6;0;6
2017-01-05T01:00:00;1;53;100485;10;2;11
2017-01-05T02:00:00;1;56;100530;6;0;5
2017-01-05T03:00:00;1;57;100584;4;0;2
2017-01-05T04:00:00;0;58;100672;4;0;2
2017-01-05T05:00:00;0;57;100807;4;0;2
2017-01-05T06:00:00;0;60;100982;6;0;6
2017-01-05T07:00:00;0;58;101157;6;0;7
2017-01-05T08:00:00;-1;55;101374;8;1;10
2017-01-05T09:00:00;0;52;101558;7;0;8
2017-01-05T10:00:00;0;50;101695;7;0;8
2017-01-05T11:00:00;-1;48;101794;6;0;6
2017-01-05T12:00:00;-1;42;101876;5;0;4
2017-01-05T13:00:00;-2;43;101980;9;2;11
2017-01-05T14:00:00;-2;46;102132;9;2;11
2017-01-05T15:00:00;-2;46;102238;15;9;20
2017-01-05T16:00:00;-2;44;102354;28;25;46
2017-01-05T17:00:00;-2;43;102448;23;18;34
2017-01-05T18:00:00;-2;44;102550;23;18;35
2017-01-05T19:00:00;-2;45;102635;22;18;34
2017-01-05T20:00:00;-3;48;102712;15;9;21
2017-01-05T21:00:00;-4;46;102792;7;0;9
2017-01-05T22:00:00;-5;44;102863;8;2;11
2017-01-05T23:00:00;-6;46;102939;7;0;8
2017-01-06T00:00:00;-6;45;103009;6;0;7
2017-01-06T01:00:00;-5;48;103042;9;2;11
2017-01-06T02:00:00;-6;46;103110;8;0;9
2017-01-06T03:00:00;-7;47;103147;5;0;5
2017-01-06T04:00:00;-7;47;103190;6;0;6
2017-01-06T05:00:00;-8;48;103254;6;0;7
2017-01-06T06:00:00;-8;47;103343;8;1;10
2017-01-06T07:00:00;-8;46;103421;10;3;14
2017-01-06T08:00:00;-7;45;103438;9;2;11
2017-01-06T09:00:00;-6;45;103427;7;1;10
2017-01-06T12:00:00;-7;42;103462;11;4;15
